character,fandom
"Castiel","Supernatural"
"Dean Winchester","Supernatural"
"Sherlock Holmes","Sherlock Holmes"
"John Watson","Sherlock Holmes"
"Draco Malfoy","Harry Potter"
"Harry Potter","Harry Potter"
"James “Bucky” Barnes","Marvel Cinematic Universe"
"Steve Rogers","Marvel Cinematic Universe"
"Bakugou Katsuki","My Hero Academia"
"Midoriya Izuku","My Hero Academia"
"Adrien Agreste | Chat Noir","Miraculous Ladybug"
"Marinette Dupain-Cheng | Ladybug","Miraculous Ladybug"
"Rey","Star Wars"
"Ben Solo | Kylo Ren","Star Wars"
"Kara Danvers","Supergirl"
"Lena Luthor","Supergirl"
"James T. Kirk","Star Trek"
"Spock","Star Trek"