year,ship,fandom,genre,collapsedFandom,totalWorks,relType,isCanon,isRPF
2024,Castiel/Dean Winchester,Supernatural,Fantasy,,105320,M/M,Semi-Canon,No
2024,Draco Malfoy/Harry Potter,Harry Potter - J. K. Rowling,Fantasy,,64661,M/M,No,No
2024,Sherlock Holmes/John Watson,Sherlock (TV),Crime,,63802,M/M,No,No
2024,Derek Hale/Stiles Stilinski,Teen Wolf,Fantasy,,63573,M/M,No,No
2024,Aziraphale/Crowley,Good Omens,Fantasy,,59570,Other,Semi-Canon,No
2024,"James ""Bucky"" Barnes/Steve Rogers",Marvel Cinematic Universe,Superhero,Marvel,58508,M/M,No,No
2024,Sirius Black/Remus Lupin,Harry Potter - J. K. Rowling,Fantasy,,50280,M/M,No,No
2024,Bakugou Katsuki/Midoriya Izuku,Boku NoHero Academia | My Hero Academia,Superhero,,42852,M/M,No,No
2024,Steve Rogers/Tony Stark,Marvel Cinematic Universe,Superhero,Marvel,42143,M/M,No,No
2024,Harry Styles/Louis Tomlinson,One Direction (Band),Western Artist,,40106,M/M,No,Yes
2024,Lán Zhàn/Wèi Yīng,Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,,37617,M/M,Yes,No
2024,Jungkook/V,Bangtan Boys | BTS,Kpop,,37334,M/M,No,Yes
2024,Adrien Agreste/Marinette Dupain-Cheng,Miraculous Ladybug,Superhero,Miraculous Ladybug,35090,F/M,Yes,No
2024,Merlin/Arthur Pendragon,Merlin (TV),Fantasy,,33355,M/M,No,No
2024,Keith/Lance,Voltron: Legendary Defender,Fantasy,Voltron,32753,M/M,No,No
2024,Dazai Osamu/Nakahara Chuuya,Bungou Stray Dogs,Fantasy,,32716,M/M,No,No
2024,Dean Winchester/Sam Winchester,Supernatural,Fantasy,,31002,M/M,No,No
2024,Bakugou Katsuki/Kirishima Eijirou,Boku NoHero Academia | My Hero Academia,Superhero,,30256,M/M,No,No
2024,Magnus Bane/Alec Lightwood,Mortal Instruments Series - Cassandra Clare,Fantasy,The Shadowhunter Chronicles,29452,M/M,Yes,No
2024,Peter Parker & Tony Stark,Marvel Cinematic Universe,Superhero,Marvel,28981,Gen,Yes,No