year,ship,fandom,Genre,collapsedFandom,totalWorks,relType,isCanon,isRPF
2023,Jeon Jeongguk | Jungkook/Kim Taehyung | V,Bangtan Boys | BTS,Kpop,,36031,M/M,No,Yes
2023,Jeon Jungkook/Park Jimin,Bangtan Boys | BTS,Kpop,,27552,M/M,No,Yes
2023,Min Yoongi | Suga/Park Jimin,Bangtan Boys | BTS,Kpop,,26842,M/M,No,Yes
2023,Kim Namjoon | RM/Kim Seokjin | Jin,Bangtan Boys | BTS,Kpop,,22097,M/M,No,Yes
2023,Jung Hoseok | J-Hope/Min Yoongi | Suga,Bangtan Boys | BTS,Kpop,,16918,M/M,No,Yes
2023,Kim Taehyung | V/Park Jimin,Bangtan Boys | BTS,Kpop,,14263,M/M,No,Yes
2023,Jeon Jungkook/Min Yoongi | Suga,Bangtan Boys | BTS,Kpop,,13769,M/M,No,Yes
2023,Kim Taehyung | V/Min Yoongi | Suga,Bangtan Boys | BTS,Kpop,,10072,M/M,No,Yes
2023,Kim Seokjin | Jin/Min Yoongi | Suga,Bangtan Boys | BTS,Kpop,,9124,M/M,No,Yes
2023,Jeon Jungkook/Kim Seokjin | Jin,Bangtan Boys | BTS,Kpop,,7985,M/M,No,Yes
2023,Kim Namjoon | RM/Min Yoongi | Suga,Bangtan Boys | BTS,Kpop,,7355,M/M,No,Yes
2023,Jeon Jungkook/Kim Namjoon | RM,Bangtan Boys | BTS,Kpop,,7297,M/M,No,Yes
2023,Kim Seokjin | Jin/Kim Taehyung | V,Bangtan Boys | BTS,Kpop,,6680,M/M,No,Yes
2023,Kim Namjoon | RM/Park Jimin,Bangtan Boys | BTS,Kpop,,6662,M/M,No,Yes
2023,Jung Hoseok | J-Hope/Park Jimin,Bangtan Boys | BTS,Kpop,,5156,M/M,No,Yes
2023,Jung Hoseok | J-Hope/Kim Taehyung | V,Bangtan Boys | BTS,Kpop,,4977,M/M,No,Yes
2023,Jeon Jungkook/Jung Hoseok | J-Hope,Bangtan Boys | BTS,Kpop,,4181,M/M,No,Yes
2023,Jung Hoseok | J-Hope/Kim Namjoon | RM,Bangtan Boys | BTS,Kpop,,4100,M/M,No,Yes
2023,Kim Namjoon | RM/Kim Taehyung | V,Bangtan Boys | BTS,Kpop,,3647,M/M,No,Yes
2023,Jung Hoseok | J-Hope/Kim Seokjin | Jin,Bangtan Boys | BTS,Kpop,,3595,M/M,No,Yes
2023,Kim Seokjin | Jin/Park Jimin,Bangtan Boys | BTS,Kpop,,3287,M/M,No,Yes
2023,Jeon Jungkook/Everyone,Bangtan Boys | BTS,Kpop,,2443,M/M,No,Yes
2023,Jeon Jeongguk | Jungkook/Kim Taehyung | V/Park Jimin,Bangtan Boys | BTS,Kpop,,2371,M/M,No,Yes
2023,Jeon Jungkook & Park Jimin,Bangtan Boys | BTS,Kpop,,2351,Gen,No,Yes
2023,Jeon Jungkook/Original Character(s),Bangtan Boys | BTS,Kpop,,2324,M/M,No,Yes
2023,Jeon Jungkook/Original Female Character(s),Bangtan Boys | BTS,Kpop,,1916,M/M,No,Yes
2023,Jeon Jungkook & Kim Taehyung | V,Bangtan Boys | BTS,Kpop,,1584,Gen,No,Yes
2023,Jeon Jungkook & Min Yoongi | Suga,Bangtan Boys | BTS,Kpop,,1318,Gen,No,Yes
2023,Kim Taehyung | V & Park Jimin,Bangtan Boys | BTS,Kpop,,1004,Gen,No,Yes