year,One Direction,NCT,Stray Kids,EXO,SEVENTEEN,TOMORROW X TOGETHER,Supernatural RPF,My Chemical Romance,GOT7,Youtube,BTS
2013,11438,0,0,0,0,0,4721,2593,0,0,0
2014,28945,0,0,0,0,0,6457,3408,0,0,0
2015,49686,0,0,0,0,0,8897,5113,0,2198,0
2016,58590,0,0,0,0,0,11216,6890,0,8566,13163
2017,64047,0,0,4017,0,0,13053,7822,2273,13401,47189
2019,71484,9285,4213,19220,10909,0,14663,9004,6363,20665,153542
2020,72259,24249,6911,25289,16202,0,15155,9570,7649,22659,210221
2021,75321,39199,13083,30833,21570,3670,15867,10228,9076,104860,269941
2022,75910,52136,32691,34359,26673,11232,16021,11335,10272,237631,322111
2023,78098,54804,50606,35303,34839,15925,15807,12077,10180,271269,338246