fandom,genre,menMainCast,womenMainCast,nonbinaryMainCast,menPercent,womenPercent,nonbinaryPercent
Harry Potter - J. K. Rowling,Fantasy,6,3,0,66.66666667,33.33333333,0
Boku NoHero Academia | My Hero Academia,Fantasy,15,3,0,83.33333333,16.66666667,0
Marvel Cinematic Universe,Superhero,30,19,0,61.2244898,38.7755102,0
Supernatural,Fantasy,3,0,0,100,0,0
Haikyuu!!,Sports,12,0,0,100,0,0
Genshin Impact,Video Game,20,39,0,33.89830508,66.10169492,0
Teen Wolf,Fantasy,7,2,0,77.77777778,22.22222222,0
Sherlock (TV),Crime,4,3,0,57.14285714,42.85714286,0
Stranger Things,Thriller,14,7,1,63.63636364,31.81818182,4.545454545
The Avengers (Marvel Movies),Superhero,10,2,0,83.33333333,16.66666667,0
Shingeki NoKyojin | Attack on Titan,Fantasy,12,6,0,66.66666667,33.33333333,0
Captain America,Superhero,3,2,0,60,40,0
Voltron: Legendary Defender,Fantasy,6,3,0,66.66666667,33.33333333,0
Good Omens,Fantasy,8,4,6,44.44444444,22.22222222,33.33333333
Star Wars,Science Fiction,23,3,0,88.46153846,11.53846154,0
Batman - All Media Types,Superhero,16,6,0,72.72727273,27.27272727,0
Naruto,Fantasy,5,3,0,62.5,37.5,0
Dragon Age: Inquisition,Video Game,1,3,2,16.66666667,50,33.33333333
Miraculous Ladybug,Superhero,3,3,0,50,50,0
Bungou Stray Dogs,Fantasy,31,8,1,77.5,20,2.5
Supergirl (TV 2015),Superhero,11,5,0,68.75,31.25,0
Jujutsu Kaisen,Fantasy,13,2,1,81.25,12.5,6.25
Doctor Who,Science Fiction,900,508,59,61.34969325,34.62849352,4.021813224
Merlin (TV),Fantasy,7,2,0,77.77777778,22.22222222,0
Módào Zǔshī - Mòxiāng Tóngxiù,Fantasy,8,0,0,100,0,0
Star Wars Episode VII: The Force Awakens (2015),Science Fiction,10,3,0,76.92307692,23.07692308,0
Undertale,Video Game,7,2,2,63.63636364,18.18181818,18.18181818
Game of Thrones,Fantasy,36,16,0,69.23076923,30.76923077,0
Once Upon a Time (TV),Fantasy,182,125,1,59.09090909,40.58441558,0.3246753247
Yuri!!! on Ice,Sports,16,3,0,84.21052632,15.78947368,0
Avatar: The Last Airbender,Fantasy,7,3,0,70,30,0
The 100,Science Fiction,6,4,0,60,40,0
9-1-2001,Crime,8,5,0,61.53846154,38.46153846,0
Percy Jackson and the Olympians - Rick Riordan,Fantasy,6,2,0,75,25,0
Star Wars Sequel Trilogy,Science Fiction,23,3,0,88.46153846,11.53846154,0
Batman,Superhero,16,6,0,72.72727273,27.27272727,0
Sanders Sides,Slice of Life,6,0,0,100,0,0
Homestuck,Science Fiction,10,7,0,58.82352941,41.17647059,0
Hannibal (TV),Thriller,5,3,0,62.5,37.5,0
The Witcher (TV),Fantasy,6,5,0,54.54545455,45.45454545,0
Glee,Slice of Life,21,15,0,58.33333333,41.66666667,0
Persona,Video Game,5,4,0,55.55555556,44.44444444,0
Mortal Instruments Series - Cassandra Clare,Fantasy,3,2,0,60,40,0
Jojo's Bizarre Adventure,Fantasy,14,1,0,93.33333333,6.666666667,0
Our Flag Means Death (TV),Romance,14,0,0,100,0,0
Hetalia: Axis Powers,Historical,8,0,0,100,0,0
Star Trek: Alternate Original Series (Movies),Science Fiction,7,2,0,77.77777778,22.22222222,0
The Owl House,Fantasy,6,6,2,42.85714286,42.85714286,14.28571429
Agents of S.H.I.E.L.D. (TV),Superhero,8,5,0,61.53846154,38.46153846,0
The Untamed,Thriller,2,0,0,100,0,0